,id,host_id,neighbourhood,region,room_type,price,minimum_nights,reviews_count_bc,reviews_activity,reviews_month_bc,reviews_engagement
0,27934,120437,Ratchathewi,Central,Entire home/apt,1905,3,2.9284577077291956,High,0.30135944223450417,Moderate
1,959254,5153476,Khlong Toei,Central,Entire home/apt,1400,30,0.0,Low,0.0,Low
2,1791481,9399478,Khlong Toei,Central,Entire home/apt,1577,30,3.010780669385594,High,0.38178262180969874,High
3,1793000,9407280,Vadhana,Central,Entire home/apt,5034,21,3.529709315875541,High,0.5576738313551209,High
4,1808600,9478184,Khlong Toei,Central,Entire home/apt,2078,60,3.038267207253628,High,0.3747118875484349,High
5,118118,596463,Khlong Toei,Central,Entire home/apt,1732,2,1.2247932123089034,Moderate,0.01950296547366487,Low
6,1816517,8492603,Ratchathewi,Central,Entire home/apt,2000,27,2.9992041579648463,High,0.36221707652779556,High
7,969792,5297436,Ratchathewi,Central,Entire home/apt,3082,1,0.0,Low,0.0,Low
8,159854,766443,Vadhana,Central,Entire home/apt,1659,3,3.4194036762682756,High,0.4977755765598647,High
9,978969,5358785,Vadhana,Central,Entire home/apt,1870,4,1.5282373466484782,Moderate,0.04699779131937704,Moderate
10,169514,729617,Vadhana,Central,Entire home/apt,1732,90,0.0,Low,0.0,Low
11,1849029,9652914,Vadhana,Central,Entire home/apt,1300,30,1.7303127212812606,Moderate,0.055724727151990214,Moderate
12,1888303,9821998,Khlong Toei,Central,Entire home/apt,1490,5,1.9976920722182738,Moderate,0.12571128167817108,Moderate
13,1041976,5735895,Parthum Wan,Central,Entire home/apt,2900,1125,3.539430162940555,High,0.5584426688224473,High
14,320014,843854,Khlong Toei,Central,Entire home/apt,1732,30,2.942314409214875,High,0.30489424267848353,Moderate
15,384924,1667508,Ratchathewi,Central,Entire home/apt,866,90,3.0924654178350344,High,0.3747118875484349,High
16,390611,807406,Khlong Toei,Central,Entire home/apt,797,1,3.3760093275562073,High,0.4853179715601439,High
17,405662,1425515,Vadhana,Central,Entire home/apt,1400,28,2.5845469365657974,High,0.18876367126764365,Moderate
18,1088343,5981006,Vadhana,Central,Entire home/apt,2355,30,2.30756575891251,High,0.13942329420177477,Moderate
19,407381,1463818,Vadhana,Central,Entire home/apt,3740,7,2.2777393054206434,High,0.12571128167817108,Moderate
20,1986193,10246374,Vadhana,Central,Entire home/apt,2000,7,1.6378355596125165,Moderate,0.04699779131937704,Moderate
21,1208204,766443,Vadhana,Central,Entire home/apt,1485,3,3.4086374007822187,High,0.5177248552186886,High
22,1227663,5469059,Parthum Wan,Central,Entire home/apt,3097,12,3.1955247131411944,High,0.4306163253770967,High
23,2084034,10297749,Vadhana,Central,Entire home/apt,2220,21,2.8757371985748,High,0.3117880471824663,Moderate
24,736372,3843977,Vadhana,Central,Entire home/apt,1974,180,0.0,Low,0.0,Low
25,1316688,5394070,Khlong Toei,Central,Entire home/apt,1489,30,3.0275108558387442,High,0.36732593720186624,High
26,742693,3888806,Khlong Toei,Central,Entire home/apt,1732,2,0.0,Low,0.0,Low
27,768019,2975807,Vadhana,Central,Entire home/apt,4156,28,1.3945657669083018,Moderate,0.028894458757127702,Low
28,808870,4255924,Khlong Toei,Central,Entire home/apt,1500,7,0.0,Low,0.0,Low
29,851956,4100838,Khlong Toei,Central,Entire home/apt,850,21,2.600272663972903,High,0.20526431121821484,Moderate
30,1353517,7327298,Khlong Toei,Central,Entire home/apt,3300,5,2.4765855007114874,High,0.21572922278242185,Moderate
31,2266425,9509219,Khlong Toei,Central,Entire home/apt,1143,360,2.5682473226129887,High,0.21054835974434688,Moderate
32,869715,4583001,Khlong Toei,Central,Entire home/apt,866,120,0.0,Low,0.0,Low
33,2279684,11495081,Ratchathewi,Central,Entire home/apt,1009,3,3.1705583476101884,High,0.45596373293028286,High
34,1419797,7644106,Parthum Wan,Central,Entire home/apt,2250,7,3.0831812529247093,High,0.3885565714175631,High
35,907553,4861469,Ratchathewi,Central,Entire home/apt,3587,7,0.0,Low,0.0,Low
36,2321290,589801,Khlong Toei,Central,Entire home/apt,1845,3,3.2252240424534047,High,0.4586240284660793,High
37,909514,4877320,Vadhana,Central,Entire home/apt,4720,2,3.4830745992359966,High,0.5353423995742341,High
38,915293,4913308,Parthum Wan,Central,Entire home/apt,3500,5,0.6510879906666404,Low,0.24932849381694847,Moderate
39,923795,4968824,Khlong Toei,Central,Entire home/apt,3000,1,0.0,Low,0.0,Low
40,2368241,7647775,Ratchathewi,Central,Entire home/apt,1336,5,3.005036292058926,High,0.3647905076929731,High
41,2542746,13020066,Khlong Toei,Central,Entire home/apt,2123,3,3.4158551972217714,High,0.5276860202337732,High
42,1507375,8008449,Vadhana,Central,Entire home/apt,2236,1,0.0,Low,0.0,Low
43,2561402,11772331,Khlong Toei,Central,Entire home/apt,1347,2,2.696960616516694,High,0.2537765963192301,Moderate
44,2407610,11772331,Khlong Toei,Central,Entire home/apt,1850,2,1.6378355596125165,Moderate,0.055724727151990214,Moderate
45,1526123,1774390,Vadhana,Central,Entire home/apt,1712,2,2.7091678110225654,High,0.24932849381694847,Moderate
46,2446205,11449258,Parthum Wan,Central,Entire home/apt,1004,23,0.9954614149509441,Moderate,0.01950296547366487,Low
47,1625274,8641336,Khlong Toei,Central,Entire home/apt,2000,2,2.9284577077291956,High,0.35426068250013354,High
48,2489610,12743033,Khlong Toei,Central,Entire home/apt,2043,370,2.4113514105025904,High,0.17719154338408194,Moderate
49,2492235,10535148,Parthum Wan,Central,Entire home/apt,1351,1,2.833327647931599,High,0.3151497418807753,Moderate
50,4313485,22392397,Vadhana,Central,Entire home/apt,4429,3,0.0,Low,0.0,Low
51,2726713,8688342,Vadhana,Central,Entire home/apt,1212,24,2.899192120587554,High,0.34306914765981744,High
52,4327609,22471584,Vadhana,Central,Entire home/apt,1500,31,2.4558355417098725,High,0.18876367126764365,Moderate
53,4374932,22713979,Khlong Toei,Central,Entire home/apt,990,30,2.496445953169705,High,0.22080968599036851,Moderate
54,3732731,15270186,Parthum Wan,Central,Entire home/apt,3436,1,2.30756575891251,High,0.15890785962502624,Moderate
55,4405781,132322,Vadhana,Central,Entire home/apt,1380,1,3.4622346781486355,High,0.5506725283663464,High
56,4405804,132322,Vadhana,Central,Entire home/apt,1150,1,3.4298171500978856,High,0.540183572119722,High
57,3735012,5371660,Vadhana,Central,Entire home/apt,2000,30,2.615460721095308,High,0.24017998662486048,Moderate
58,3747051,15270186,Parthum Wan,Central,Entire home/apt,3343,1,2.4558355417098725,High,0.18876367126764365,Moderate
59,2870408,14672170,Vadhana,Central,Entire home/apt,1100,14,2.7091678110225654,High,0.2788285834626853,Moderate
60,3752774,19156474,Vadhana,Central,Entire home/apt,1850,50,3.3090193754404718,High,0.49866832135786643,High
61,3787176,5917880,Khlong Toei,Central,Entire home/apt,800,15,3.228373259520624,High,0.4662507147624083,High
62,4412914,19010551,Vadhana,Central,Entire home/apt,3071,2,2.8055873144478927,High,0.3083699891852536,Moderate
63,4425076,21008631,Khlong Toei,Central,Entire home/apt,2036,5,2.335678680126528,High,0.17122396817002358,Moderate
64,3006637,11495081,Ratchathewi,Central,Entire home/apt,1150,3,2.981155612318672,High,0.37710288340209536,High
65,4453151,13772523,Khlong Toei,Central,Entire home/apt,1436,3,2.65811461654816,High,0.2537765963192301,Moderate
66,4512873,4837112,Khlong Toei,Central,Entire home/apt,2078,180,0.0,Low,0.0,Low
67,3899173,8964626,Parthum Wan,Central,Entire home/apt,3500,180,2.962220330382762,High,0.36221707652779556,High
68,4524130,23336937,Vadhana,Central,Entire home/apt,700,10,0.0,Low,0.0,Low
69,3940735,20306441,Vadhana,Central,Entire home/apt,3000,1,0.0,Low,0.0,Low
70,4559898,10297749,Vadhana,Central,Entire home/apt,2220,21,2.600272663972903,High,0.24932849381694847,Moderate
71,4568276,11695903,Ratchathewi,Central,Entire home/apt,1590,10,2.914095326961113,High,0.3459322022049565,High
72,3399974,17149199,Khlong Toei,Central,Entire home/apt,1108,14,2.7438223164372193,High,0.282748831209836,Moderate
73,4572647,9509219,Vadhana,Central,Entire home/apt,2147,365,0.9954614149509441,Moderate,0.01950296547366487,Low
74,3406017,12462870,Khlong Toei,Central,Entire home/apt,999,30,2.65811461654816,High,0.24479702157442013,Moderate
75,4612906,21034511,Vadhana,Central,Entire home/apt,1385,180,2.3874326841720483,High,0.17122396817002358,Moderate
76,3452365,9165845,Khlong Toei,Central,Entire home/apt,1209,1,0.0,Low,0.0,Low
77,4626626,23957844,Parthum Wan,Central,Entire home/apt,4848,2,0.6510879906666404,Low,0.009874288685979499,Low
78,4636072,18699637,Ratchathewi,Central,Entire home/apt,1629,30,2.981155612318672,High,0.41853089789623116,High
79,3532103,17781158,Khlong Toei,Central,Entire home/apt,990,30,2.914095326961113,High,0.351527043094566,High
80,4100060,132322,Vadhana,Central,Entire home/apt,1725,1,3.3739833681354914,High,0.522536544364769,High
81,4687288,24234328,Vadhana,Central,Entire home/apt,1250,7,2.9932817603227218,High,0.3794595674579727,High
82,4106042,21300947,Parthum Wan,Central,Entire home/apt,1000,30,3.1705583476101884,High,0.44467920607577316,High
83,3607858,18181229,Ratchathewi,Central,Entire home/apt,1143,1,0.0,Low,0.0,Low
84,3611451,17499526,Parthum Wan,Central,Entire home/apt,3271,1,3.068802973532255,High,0.43387743154005665,High
85,4711365,10289027,Parthum Wan,Central,Entire home/apt,2995,2,3.29383230612216,High,0.49596342557553696,High
86,4722388,12594274,Khlong Toei,Central,Entire home/apt,650,28,2.696960616516694,High,0.2748384629701946,Moderate
87,4754686,24533576,Khlong Toei,Central,Entire home/apt,1500,3,2.935447202824443,High,0.3569529949017072,High
88,4756103,22713979,Khlong Toei,Central,Entire home/apt,949,30,2.914095326961113,High,0.348751187587103,High
89,4779295,24646274,Khlong Toei,Central,Entire home/apt,806,1,3.143709723378061,High,0.4401625162698872,High
90,4978939,14363728,Ratchathewi,Central,Entire home/apt,1657,90,2.5682473226129887,High,0.2537765963192301,Moderate
91,4786588,24675031,Khlong Toei,Central,Entire home/apt,1529,21,3.337467421363503,High,0.5126005901971384,High
92,4252589,22068913,Ratchathewi,Central,Entire home/apt,1300,30,0.0,Low,0.0,Low
93,4252695,22069649,Vadhana,Central,Entire home/apt,2390,1,1.5282373466484782,Moderate,0.04699779131937704,Moderate
94,4794241,1780407,Khlong Toei,Central,Entire home/apt,990,30,2.496445953169705,High,0.21054835974434688,Moderate
95,4810516,6482384,Vadhana,Central,Entire home/apt,1534,5,2.98726648655079,High,0.38178262180969874,High
96,4265987,22145270,Khlong Toei,Central,Entire home/apt,950,60,2.496445953169705,High,0.24932849381694847,Moderate
97,4825297,24844970,Khlong Toei,Central,Entire home/apt,1650,4,2.496445953169705,High,0.20526431121821484,Moderate
98,5042327,26032778,Ratchathewi,Central,Entire home/apt,1500,15,2.5845469365657974,High,0.23068008105657953,Moderate
99,5474276,27353333,Vadhana,Central,Entire home/apt,2000,1,0.0,Low,0.0,Low
100,6081478,31566655,Khlong Toei,Central,Entire home/apt,1106,180,0.0,Low,0.0,Low
101,6109353,31701366,Khlong Toei,Central,Entire home/apt,4850,2,2.212095488251514,High,0.15255173984730053,Moderate
102,5538498,2940438,Ratchathewi,Central,Entire home/apt,1500,28,3.1592973035111536,High,0.4546103700743715,High
103,6159649,31433439,Khlong Toei,Central,Entire home/apt,1300,5,1.3945657669083018,Moderate,0.038056829648450724,Low
104,6164354,31975096,Vadhana,Central,Entire home/apt,1888,30,3.4528566561314924,High,0.5536605599029708,High
105,5584020,14064567,Vadhana,Central,Entire home/apt,986,5,3.038267207253628,High,0.41487312828220135,High
106,5607585,12352306,Khlong Toei,Central,Entire home/apt,820,7,2.0942643757493995,High,0.1186250592257821,Moderate
107,6239775,25524442,Vadhana,Central,Entire home/apt,1400,3,3.1955247131411944,High,0.4674725649370619,High
108,5641625,13226580,Ratchathewi,Central,Entire home/apt,1385,30,2.8676037249721675,High,0.3342057748120087,Moderate
109,5185732,21471808,Khlong Toei,Central,Entire home/apt,1400,30,2.9284577077291956,High,0.3569529949017072,High
110,6284615,29654312,Parthum Wan,Central,Entire home/apt,1600,90,1.9976920722182738,Moderate,0.10396780237021998,Moderate
111,5186235,24481430,Vadhana,Central,Entire home/apt,3990,7,1.2247932123089034,Moderate,0.028894458757127702,Low
112,6291384,28657404,Vadhana,Central,Entire home/apt,2500,3,0.9954614149509441,Moderate,0.028894458757127702,Low
113,6305340,13020066,Khlong Toei,Central,Entire home/apt,2400,3,3.3397315575586144,High,0.5198237037235508,High
114,5675191,7919219,Vadhana,Central,Entire home/apt,1200,20,2.496445953169705,High,0.24932849381694847,Moderate
115,5675192,7919219,Khlong Toei,Central,Entire home/apt,1311,2,2.13661451012218,High,0.13264246494058154,Moderate
116,5232623,27080942,Vadhana,Central,Entire home/apt,1500,1,0.0,Low,0.0,Low
117,5233978,27087684,Khlong Toei,Central,Entire home/apt,3347,1,0.0,Low,0.0,Low
118,6366794,20391032,Ratchathewi,Central,Entire home/apt,2007,20,2.3874326841720483,High,0.1830369591360309,Moderate
119,5686783,24884150,Vadhana,Central,Entire home/apt,1300,5,2.7091678110225654,High,0.3184563597097541,Moderate
120,5690915,28102263,Vadhana,Central,Entire home/apt,1662,3,3.1705583476101884,High,0.4756588661242411,High
121,6390730,32898841,Khlong Toei,Central,Entire home/apt,1700,7,1.6378355596125165,Moderate,0.06424470778217749,Moderate
122,5699883,4135383,Parthum Wan,Central,Entire home/apt,1212,4,2.4341196452616876,High,0.20526431121821484,Moderate
123,5359109,23728897,Khlong Toei,Central,Entire home/apt,5400,1,2.615460721095308,High,0.24479702157442013,Moderate
124,5387208,11772331,Khlong Toei,Central,Entire home/apt,1690,30,0.9954614149509441,Moderate,0.028894458757127702,Low
125,6752440,23361470,Vadhana,Central,Entire home/apt,1662,20,3.3259083780856105,High,0.5245095378963573,High
126,5831396,30263842,Parthum Wan,Central,Entire home/apt,1350,1,2.842171722691169,High,0.3280580630538365,Moderate
127,5838604,30262097,Vadhana,Central,Entire home/apt,2459,2,3.1989516202301247,High,0.4710579483519886,High
128,6563738,34335559,Khlong Toei,Central,Entire home/apt,4000,1,0.0,Low,0.0,Low
129,6791771,35549685,Vadhana,Central,Entire home/apt,3000,30,0.6510879906666404,Low,0.009874288685979499,Low
130,6616352,29821030,Khlong Toei,Central,Entire home/apt,4056,1,3.571154851619124,High,0.5892688694867533,High
131,6630855,32275692,Vadhana,Central,Entire home/apt,2600,3,3.1989516202301247,High,0.4710579483519886,High
132,5889527,30584765,Vadhana,Central,Entire home/apt,2000,6,0.0,Low,0.0,Low
133,6874853,1325016,Khlong Toei,Central,Entire home/apt,850,5,1.8799075570967627,Moderate,0.13264246494058154,Moderate
134,6678298,34797035,Vadhana,Central,Entire home/apt,3000,10,0.0,Low,0.0,Low
135,6702391,35082871,Vadhana,Central,Entire home/apt,1369,1,3.438240576769635,High,0.5767832532353063,High
136,6718608,19357671,Vadhana,Central,Entire home/apt,999,30,0.0,Low,0.0,Low
137,5952398,24578964,Parthum Wan,Central,Entire home/apt,2340,3,3.118988022622967,High,0.4401625162698872,High
138,6734411,23056760,Vadhana,Central,Entire home/apt,1211,1,3.3898469307277885,High,0.5364488623001872,High
139,6949824,23888912,Vadhana,Central,Entire home/apt,1200,30,1.7303127212812606,Moderate,0.07256450711301977,Moderate
140,5962480,4100838,Ratchathewi,Central,Entire home/apt,1400,21,2.5154848191879617,High,0.21572922278242185,Moderate
141,5969642,10061428,Khlong Toei,Central,Entire home/apt,1197,28,2.732582293625507,High,0.2903864277985335,Moderate
142,6962401,36401443,Vadhana,Central,Entire home/apt,2300,1,3.2779288567747726,High,0.5012946722618201,High
143,7836927,14461657,Khlong Toei,Central,Entire home/apt,1886,2,2.7438223164372193,High,0.30489424267848353,Moderate
144,6984014,35960571,Khlong Toei,Central,Entire home/apt,1450,4,1.8799075570967627,Moderate,0.08862926325817572,Moderate
145,7846303,41346458,Vadhana,Central,Entire home/apt,3463,180,0.0,Low,0.0,Low
146,7864274,11695903,Ratchathewi,Central,Entire home/apt,3490,7,3.0275108558387442,High,0.40920308987666665,High
147,7014697,27532896,Khlong Toei,Central,Entire home/apt,5017,2,2.795908922102989,High,0.3151497418807753,Moderate
148,7281268,15257097,Khlong Toei,Central,Entire home/apt,4286,60,0.6510879906666404,Low,0.009874288685979499,Low
149,7041159,5632163,Khlong Toei,Central,Entire home/apt,1200,30,2.4558355417098725,High,0.20526431121821484,Moderate
150,7890624,41445233,Vadhana,Central,Entire home/apt,2474,180,0.0,Low,0.0,Low
151,7063763,17854394,Vadhana,Central,Entire home/apt,1390,6,3.05384643729127,High,0.41671394271632445,High
152,7075345,36852418,Vadhana,Central,Entire home/apt,2643,2,1.6378355596125165,Moderate,0.06424470778217749,Moderate
153,7115674,36324473,Vadhana,Central,Entire home/apt,2900,2,3.163090570750778,High,0.4586240284660793,High
154,7974518,22395307,Vadhana,Central,Entire home/apt,990,2,0.6510879906666404,Low,0.009874288685979499,Low
155,7153111,36674059,Vadhana,Central,Entire home/apt,3000,90,0.0,Low,0.0,Low
156,7453764,12180406,Vadhana,Central,Entire home/apt,2127,7,0.0,Low,0.0,Low
157,8065745,42597040,Vadhana,Central,Entire home/apt,1059,2,2.842171722691169,High,0.3401610582732097,High
158,8457568,21546515,Vadhana,Central,Entire home/apt,866,28,2.4765855007114874,High,0.22080968599036851,Moderate
159,8081289,7341593,Ratchathewi,Central,Entire home/apt,675,90,0.0,Low,0.0,Low
160,8479452,40698085,Khlong Toei,Central,Entire home/apt,1200,1,0.0,Low,0.0,Low
161,7499740,35517787,Khlong Toei,Central,Entire home/apt,5000,30,0.6510879906666404,Low,0.09638641529825079,Moderate
162,8479948,40698085,Khlong Toei,Central,Entire home/apt,1200,1,0.6510879906666404,Low,0.009874288685979499,Low
163,8117871,42737012,Ratchathewi,Central,Entire home/apt,3800,1,0.0,Low,0.0,Low
164,8507929,40262107,Ratchathewi,Central,Entire home/apt,1643,7,3.5079487402871443,High,0.5751864604599549,High
165,7517319,39387178,Khlong Toei,Central,Entire home/apt,1483,30,1.8799075570967627,Moderate,0.13942329420177477,Moderate
166,8525403,43467430,Khlong Toei,Central,Entire home/apt,1163,15,2.5682473226129887,High,0.24479702157442013,Moderate
167,8156806,36401443,Vadhana,Central,Entire home/apt,1900,2,3.163090570750778,High,0.46250204255575195,High
168,8526852,40262107,Khlong Toei,Central,Entire home/apt,1457,30,3.3974956113310992,High,0.5461238569624535,High
169,8526904,15270186,Parthum Wan,Central,Entire home/apt,3407,1,2.0942643757493995,High,0.12571128167817108,Moderate
170,7537579,19266319,Vadhana,Central,Entire home/apt,1250,14,3.6293908644733732,High,0.5979268716875578,High
171,7537716,19266319,Khlong Toei,Central,Entire home/apt,1100,28,3.4086374007822187,High,0.5484411123247795,High
172,8176753,32466453,Khlong Toei,Central,Entire home/apt,1400,4,3.209036319428568,High,0.4800655985648477,High
173,8205765,43270218,Khlong Toei,Central,Entire home/apt,1200,2,1.8799075570967627,Moderate,0.08862926325817572,Moderate
174,8594331,45229361,Vadhana,Central,Entire home/apt,1500,28,2.1757504902109672,High,0.14605827465157273,Moderate
175,8215285,43321553,Vadhana,Central,Entire home/apt,1524,1,0.9954614149509441,Moderate,0.01950296547366487,Low
176,8616187,13020066,Khlong Toei,Central,Entire home/apt,1697,3,3.296411596065227,High,0.5118413853804542,High
177,8228442,15419517,Parthum Wan,Central,Entire home/apt,1212,25,2.8676037249721675,High,0.348751187587103,High
178,8627406,45374552,Vadhana,Central,Entire home/apt,2251,30,1.7303127212812606,Moderate,0.07256450711301977,Moderate
179,8637376,45414241,Vadhana,Central,Entire home/apt,4120,1,2.9932817603227218,High,0.40128116582537776,High
180,8637714,45415512,Khlong Toei,Central,Entire home/apt,2000,90,0.0,Low,0.0,Low
181,7574772,28808611,Vadhana,Central,Entire home/apt,2800,2,2.1757504902109672,High,0.13942329420177477,Moderate
182,7585100,3827459,Vadhana,Central,Entire home/apt,1600,7,2.7654413296847764,High,0.32490932477010565,Moderate
183,8248114,43496768,Parthum Wan,Central,Entire home/apt,2000,5,3.105966785197298,High,0.44467920607577316,High
184,8257392,43467430,Vadhana,Central,Entire home/apt,1143,1,3.1476704642235993,High,0.461224045853712,High
185,7585968,22911134,Khlong Toei,Central,Entire home/apt,1553,4,2.4341196452616876,High,0.19987419166551426,Moderate
186,8676857,7508205,Parthum Wan,Central,Entire home/apt,1693,7,0.6510879906666404,Low,0.01950296547366487,Low
187,8294848,43736728,Vadhana,Central,Entire home/apt,3200,21,1.8799075570967627,Moderate,0.08862926325817572,Moderate
188,8679433,24330919,Vadhana,Central,Entire home/apt,1500,1,0.0,Low,0.0,Low
189,8296785,39878043,Vadhana,Central,Entire home/apt,2088,3,3.228373259520624,High,0.48734343825574444,High
190,8683600,45598501,Khlong Toei,Central,Entire home/apt,1530,30,1.941969292736452,Moderate,0.10396780237021998,Moderate
191,7664777,6189280,Vadhana,Central,Entire home/apt,3067,3,2.8242877430680724,High,0.3401610582732097,High
192,8697039,45659347,Khlong Toei,Central,Entire home/apt,866,180,0.0,Low,0.0,Low
193,8328967,43907743,Vadhana,Central,Entire home/apt,1800,1,0.0,Low,0.0,Low
194,8697877,41539139,Vadhana,Central,Entire home/apt,1385,2,2.3874326841720483,High,0.19437501126302698,Moderate
195,7691102,40392546,Parthum Wan,Central,Entire home/apt,1243,30,3.2252240424534047,High,0.486335941344111,High
196,8732425,3192020,Ratchathewi,Central,Entire home/apt,2500,30,2.4765855007114874,High,0.21572922278242185,Moderate
197,8743015,298572,Vadhana,Central,Entire home/apt,1301,2,3.3657508774700653,High,0.534782350321892,High
198,7742968,40698085,Khlong Toei,Central,Entire home/apt,1100,1,1.6378355596125165,Moderate,0.06424470778217749,Moderate
199,8358775,44058615,Vadhana,Central,Entire home/apt,1000,1,0.0,Low,0.0,Low
200,8767173,8134752,Vadhana,Central,Entire home/apt,1064,14,2.6443528639256493,High,0.2707767225666947,Moderate
201,7764129,40830808,Vadhana,Central,Entire home/apt,950,14,2.935447202824443,High,0.3747118875484349,High
202,8375055,43240218,Vadhana,Central,Entire home/apt,2000,30,0.0,Low,0.0,Low
203,8390188,5735895,Parthum Wan,Central,Entire home/apt,5071,2,3.3163624624348857,High,0.5177248552186886,High
204,7777619,19725112,Ratchathewi,Central,Entire home/apt,1208,30,2.833327647931599,High,0.36732593720186624,High
205,8802895,198833,Vadhana,Central,Entire home/apt,1700,1,1.6378355596125165,Moderate,0.09638641529825079,Moderate
206,7777915,37567351,Khlong Toei,Central,Entire home/apt,1200,30,2.4558355417098725,High,0.20526431121821484,Moderate
207,8452748,44495909,Khlong Toei,Central,Entire home/apt,600,90,0.0,Low,0.0,Low
208,8931548,15419517,Parthum Wan,Central,Entire home/apt,1212,25,2.795908922102989,High,0.32490932477010565,Moderate
209,8944285,52144521,Vadhana,Central,Entire home/apt,3800,1,2.0481763322732762,High,0.1186250592257821,Moderate
210,9033067,7273604,Khlong Toei,Central,Entire home/apt,2500,1,1.6378355596125165,Moderate,0.06424470778217749,Moderate
211,7810607,41119422,Vadhana,Central,Entire home/apt,4000,1,3.131559724606128,High,0.45324119454125145,High
212,9550352,48073897,Khlong Toei,Central,Entire home/apt,2351,2,2.5154848191879617,High,0.23068008105657953,Moderate
213,9008384,6632570,Vadhana,Central,Entire home/apt,850,14,2.600272663972903,High,0.2537765963192301,Moderate
214,10011621,3192020,Ratchathewi,Central,Entire home/apt,3000,30,1.2247932123089034,Moderate,0.038056829648450724,Low
215,9096300,47425603,Vadhana,Central,Entire home/apt,750,30,0.0,Low,0.0,Low
216,9587125,49539775,Vadhana,Central,Entire home/apt,1200,15,3.593887521484337,High,0.6055588267377565,High
217,9596024,49390718,Khlong Toei,Central,Entire home/apt,850,1,3.005036292058926,High,0.40529544145241675,High
218,10089119,38880841,Khlong Toei,Central,Entire home/apt,2108,30,0.0,Low,0.0,Low
219,9617793,27325693,Parthum Wan,Central,Entire home/apt,2078,30,0.6510879906666404,Low,0.01950296547366487,Low
220,10145423,52068281,Vadhana,Central,Entire home/apt,1043,22,2.551333935169041,High,0.24017998662486048,Moderate
221,10145690,5792836,Khlong Toei,Central,Entire home/apt,795,3,3.1515880726405245,High,0.46501515519084535,High
222,9176480,26971191,Vadhana,Central,Entire home/apt,1500,1,2.9749462951799654,High,0.40529544145241675,High
223,9670821,49023055,Parthum Wan,Central,Entire home/apt,1350,90,0.9954614149509441,Moderate,0.01950296547366487,Low
224,9675428,10901596,Khlong Toei,Central,Entire home/apt,2043,20,1.2247932123089034,Moderate,0.038056829648450724,Low
225,9687520,50037715,Vadhana,Central,Entire home/apt,1332,365,0.0,Low,0.0,Low
226,9220087,91231688,Vadhana,Central,Entire home/apt,2030,1,0.0,Low,0.0,Low
227,9220439,47945354,Khlong Toei,Central,Entire home/apt,1554,90,0.0,Low,0.0,Low
228,9700702,50093904,Khlong Toei,Central,Entire home/apt,1050,356,3.038267207253628,High,0.42209493516286833,High
229,10262184,10289027,Parthum Wan,Central,Entire home/apt,3177,2,2.9749462951799654,High,0.39715616585186275,High
230,9719192,4138170,Vadhana,Central,Entire home/apt,1576,1,3.4194036762682756,High,0.5528224712074482,High
231,9266197,24956139,Vadhana,Central,Entire home/apt,610,60,3.010780669385594,High,0.40726234563961816,High
232,9721858,9435898,Vadhana,Central,Entire home/apt,1300,3,3.03292734516459,High,0.41853089789623116,High
233,9737667,33548861,Vadhana,Central,Entire home/apt,1385,21,1.8100331631971507,Moderate,0.08069061736922052,Moderate
234,9283994,3192020,Ratchathewi,Central,Entire home/apt,3000,30,1.8100331631971507,Moderate,0.08069061736922052,Moderate
235,9766252,27657272,Khlong Toei,Central,Entire home/apt,1700,7,2.8508276562911323,High,0.348751187587103,High
236,9344041,41598889,Vadhana,Central,Entire home/apt,914,30,3.249650691128671,High,0.4977755765598647,High
237,10324572,51627960,Khlong Toei,Central,Entire home/apt,3000,1,0.0,Low,0.0,Low
238,9394543,15419517,Parthum Wan,Central,Entire home/apt,1222,25,2.8676037249721675,High,0.351527043094566,High
239,10395269,53507655,Parthum Wan,Central,Entire home/apt,1500,60,3.4901891080083876,High,0.57491456684579,High
240,9464686,11961423,Vadhana,Central,Entire home/apt,1484,365,0.6510879906666404,Low,0.009874288685979499,Low
241,10465278,2954058,Vadhana,Central,Entire home/apt,1281,23,1.7303127212812606,Moderate,0.07256450711301977,Moderate
242,10480233,8759101,Vadhana,Central,Entire home/apt,1650,30,3.1476704642235993,High,0.4674725649370619,High
243,9466201,49058039,Khlong Toei,Central,Entire home/apt,2000,7,1.9976920722182738,Moderate,0.14605827465157273,Moderate
244,9468871,25001188,Khlong Toei,Central,Entire home/apt,1200,90,2.212095488251514,High,0.23547512148776392,Moderate
245,9516446,24236210,Khlong Toei,Central,Entire home/apt,658,28,1.7303127212812606,Moderate,0.07256450711301977,Moderate
246,10514530,54210559,Khlong Toei,Central,Entire home/apt,2800,2,2.94906321825338,High,0.40529544145241675,High
247,9534223,40262107,Khlong Toei,Central,Entire home/apt,1457,2,3.363659831890081,High,0.5358978863624945,High
248,9534856,49390718,Khlong Toei,Central,Entire home/apt,1000,1,3.058898844027647,High,0.4272724486634611,High
249,9535832,4138170,Vadhana,Central,Entire home/apt,999,1,3.283313444581677,High,0.510301716688136,High
250,10529822,53251672,Ratchathewi,Central,Entire home/apt,2424,5,0.0,Low,0.0,Low
251,9540612,15419517,Ratchathewi,Central,Entire home/apt,1351,25,2.65811461654816,High,0.2748384629701946,Moderate
252,10601342,53251672,Ratchathewi,Central,Entire home/apt,3463,15,0.0,Low,0.0,Low
253,10661695,13026063,Khlong Toei,Central,Entire home/apt,3019,10,2.5154848191879617,High,0.23068008105657953,Moderate
